Word,Definition,Image_Search,Image_Link,Sketch_Link
DOCTRINAIRE,rigid,rigid,https://images.pexels.com/photos/28748667/pexels-photo-28748667.jpeg,https://pixabay.com/get/g9a8c491bb4f8efa8b1318494a778a33d56e82c2b8fe219c420a4571f3d9241f90e22a96a11090da4332255442d573fae4b22606947fad15597a0aab25f68021c_1280.png
DOCUMENT,to record,record,https://images.pexels.com/photos/31805824/pexels-photo-31805824.jpeg,https://pixabay.com/get/g59e4623f7049a26a5ccc07510d0ba136cba028221c791b6074f19472f5eca5b7c85c8a9ca88ece70457d60b5965e20de3f4f5322b660726f932566189c18d27b_1280.png
DOGGEREL,bad poetry,bad poetry,https://images.pexels.com/photos/9074951/pexels-photo-9074951.jpeg,https://pixabay.com/get/gff65b4ec08111471451ca73847ef85d1f39e8f477bfcb29e5b1ef0b064acc8ce7827ec5a8362c304dce7ebb7de0c9afaad4ef783ac7d8eb96d7148f724a0dc70_1280.png
DOGMATIC,opinionated,rigid opinionated stubborn,https://images.pexels.com/photos/11255403/pexels-photo-11255403.jpeg,https://pixabay.com/get/g6410a906ea752875ab5cbbc9e2a991733521ddf5abee09ebe9daf5835eba250e98df883159507e244cf44b2fe9d2e101e73ea4ab674fb53345a333baf68165dd_1280.png
DORMANT,inactive,inactive,https://images.pexels.com/photos/13779102/pexels-photo-13779102.jpeg,https://pixabay.com/get/gc3f0998b4a79ef2c6f223146e5fb3572f58e0f422b8c07d4afaef8bed1e068ae615e94a20ed02c3a50a4172e7f01ab5f427d5f0b666ac1a9f69db35f82ddc33c_1280.png
DROSS,waste,waste,https://images.pexels.com/photos/28124639/pexels-photo-28124639.jpeg,https://pixabay.com/get/geb25c4020ce2325ce72b18ad23ba58c85d121a62fe79797d422256fae88da23acc47fa4267e0025401a68d72be51b883bc469c2049f5c75b9acb55effea34d50_1280.png
DUPE,to fool,fool,https://images.pexels.com/photos/3370381/pexels-photo-3370381.jpeg,https://pixabay.com/get/gd0894db5b8adefb2c1230fb025b05f6e1237c0626089afd007ff280e0c864b6a1d85a58676257d9b5e6de33f70087a79923080bd86163ffdd575b8c2198fd3ff_1280.png
EBULLIENT,enthusiastic,excited bubbly joy,https://images.pexels.com/photos/13871766/pexels-photo-13871766.jpeg,https://pixabay.com/get/g8eac02b33b949aa221b86a4cfe7516d6141029ac60932e25bcc197eba42438fa9adb47d088c4f745e521561beb1534c534350a136c328e6ecc656a8c12e6f727_1280.png
ECLECTIC,diverse,diverse,https://images.pexels.com/photos/8832726/pexels-photo-8832726.jpeg,https://pixabay.com/get/gba11af98623feb79a8693519507e6225726a1a156c9f2a5e95a904c534c041d66bf94ce7ab9ebba445dd143a709e7da80d71a7433ef4cea8856703938b6f0b0b_1280.png
EFFERVESCENCE,bubbling,bubbling,https://images.pexels.com/photos/15694504/pexels-photo-15694504.jpeg,https://pixabay.com/get/ga11aa7678d8c7e5b62ad435d3c68f40dc907010b0fc290bdcedeb4d770901c84d2fd5b838e007a8cf47c952ec608194c8971235577bb10f657600465d826d3d9_1280.png
EFFETE,worn out,worn out,https://pixabay.com/get/g40c197388809d77dc5a48c6e19c63edb5dc1297e45bf064ad7c2381dbf68ab73eb88a14523f79bdd14f102acfbd11da0358f9675eeb7ec2bba5d1658dffba261_1280.jpg,https://pixabay.com/get/g7c8d46f31c0aa555506fb6e0abbaa2864fb253e7ccc18df6de80dde8c256466686e41eddf68e6875171fe691e9ba7be8_1280.png
EFFICACY,effectiveness,effective working success,https://pixabay.com/get/gf56325449502446ea5ca43d09b961ec8b8c25b0fb6f621410e70fc315b2c03ccd3ad50ab5c7c807df36b597906d7994357d5b1bc42218d39e5a008af63f0c494_1280.jpg,https://pixabay.com/get/g3d11f6709263ed7e6f5ee4c4f753d9e084212d7591b0393bfd3a9137903040ec856e856df4de2992ea4bd982ae0edf65050f32da30e09c6e57a748f91e2c00fe_1280.png
EFFRONTERY,nerve,nerve,https://images.pexels.com/photos/12123232/pexels-photo-12123232.jpeg,https://pixabay.com/get/g91d813a261425e341342bb66203120d5624563e7cf8171b0caeb1049fa9da12ea0b67f42f1231c4557baca47afa2deb5d22084d1faaf849c6895eb9e26af08ab_1280.png
EGOISM,self-interest,self-interest,https://pixabay.com/get/ge4be1f6abfb481938ecd94991640025e76d4162e8a55a2553a9e7eb5dcd633816b54a429b7d62e525463df62d64176ac766d5b5d26217f4002900105eddce77e_1280.jpg,https://pixabay.com/get/g97f07b18512c8c3ec24871fdb54a477b3a4b0bd1c58333dd25fd9889ed784b40398dba53a8a72e13ee58d68ad9989770846f37bcbb3eb2f7979dd15c704910d7_1280.png
EGOTISTICAL,self-centered,self-centered,https://pixabay.com/get/ge57f9b466648bd89c5113d2e9b3485ee44b987562c0faaf89ba8ffdacc1b5b1848a8f6fe49bb5be7d0377f80d5698a184bee193122a6d917a356e8f343f97ae6_1280.jpg,https://pixabay.com/get/g94520294e49c028ff64d235f472be03d5ee5a81498884bbada0df9214b5de5b87f64f14932c016f42f110aa648d0910c9124a5f9d7e6f44d88894d9cd20b8e8b_1280.png
ELEGY,sad poem,sad poem,https://pixabay.com/get/g0f1eb0070fbb1a9b04e99f7c7384b0fd58fd372ab2e67ac72d0b907573e2a4ba95d1ef0229b2a2faa3ebdf260ea5876e4c5d54262ac8f5293b4106e7507e9af3_1280.jpg,https://pixabay.com/get/g1a0c76dee5bf4044119b2e71ec606a1af977974eba21ee08f0dcd46bd515c8480ba54074c3e62d4b2d7631a4fdd89ec483e8eed09051981cf79eda7963e1bd18_1280.png
ELICIT,to draw out,draw out,https://pixabay.com/get/g929f7282ac4c3c78756cb7111a758213310d58771dc6885286382681db2ede01829a0464b28b231483d5cd9bd57ffca8858535002145068a6111a104a14a2979_1280.jpg,https://pixabay.com/get/g8c2fb5f2154672c96f71400d5e3b5ce3f5765acb03b62f3159db3b9a4d8dd2d8efa3724109b7b157f9c1a3749ddb6300_1280.png
ELIXIR,cure-all,cure-all,https://images.pexels.com/photos/28748667/pexels-photo-28748667.jpeg,https://pixabay.com/get/ge17f75d91371dcdd6e1cef1da55e0a85c606669d1ef1f3e412c3b007880197639fb86ce7bec238b58011f96a02bd6d1f292e73fb1343d0fb00ac26e4a8f608eb_1280.png
ELYSIAN,blissful,blissful,https://pixabay.com/get/gc9189341c53257e86bcb2c39fa6246d0eccb4358f786f42f41be276b97c867ad970b6329e481d28ddbc6a8f94485005d830398e4078fa4da6c41272ca72f9c24_1280.jpg,https://pixabay.com/get/g18e11e726e296dadae4ffc0674e693aabc9e8d5803ca251af4f3084b4cc813d7ef10145454bccf30c1dad1792543b5c858fa7688e2ddfdae8f98c96ef293cfd8_1280.png
EMACIATED,very thin,very thin,https://pixabay.com/get/g6aef2e0e79b1acefd32ceb88162035db29843cf1d25fffaf41c0e85df5c0cc1cae6d2d9cb6617eed4d1bbf0c8075a48d49e0b59fce3c857be9daa3d2d0dee16d_1280.jpg,https://pixabay.com/get/gf34b4d506d675fef19c964ec723a200af7c54dc2f8c37f81e57c75edb3bd5730ea8288bf16fa490019351f3e066a98425d55f9cf7fadf936a7b6b195464aa595_1280.png
EMBELLISH,to decorate,decorate,https://pixabay.com/get/gf422eeb364fd5a9a40bc07040afe5c8da978fd4d8d172bef723d7b9064a90d378c23eff188b5b6c336a0adb3f7c5b7b6e3477d1eb1a1fe98f3a9ad799f9e27a5_1280.jpg,https://pixabay.com/get/g30178d189afbc0f508fa7a6269e6c58e900e8a5b4114e3e76dde2e5023d0c68a149ee2103da1d30cf2fdf23a6c4fdfd67d4c4b24317bc3eac2ad8aebb0f320cb_1280.png
EMOLLIENT,soothing,soothing,https://pixabay.com/get/gb9330363f07768dfc05ea5819386abeb506c7e48a814f64f068b925c8a51fe912925f7c8befbef39e4bc00bb0e31978ffc7729fc0945b6429d10a6875d103ff8_1280.jpg,https://pixabay.com/get/g32c6ffbbae6743990cc38dc8b8524484d7440ae277bef4947f8b6d5b4698503a24056b4a84375e3ac1402a34dc8f756edb35cd5f3a796b19a6cdd20eb39e1dd4_1280.png
EMPIRICAL,observational,empirical,https://images.pexels.com/photos/11875381/pexels-photo-11875381.jpeg,https://pixabay.com/get/g8aac09134f2b80ad1e8dcb471408cdc782dcb9c66c5fb318f60a11db3469e6a98b6ebbe6a2aa01bc50ba72dc287d9975337343b9554a0d714b9f38796e126078_1280.png
EMULATE,to imitate,imitate,https://pixabay.com/get/gbc845f999241c8beba9eeecba5b2d9a979d12737779ea456ad18c57614c83d14bb2cf2a8261f7a724bf3dedc459c64139b38c799fcde8c451d5c127225c3786d_1280.jpg,https://pixabay.com/get/g976c518101d404efdc1650889a5b3cc916beed0272f81bf1d6a6016332ababe644596b88aca0acf8884656dc8e40a5a44b924c9eba237b5c7a08f3fbfa681606_1280.png
ENCOMIUM,praise,praise,https://pixabay.com/get/g5f1564b58552c78dadb1d142e80c32becdf986518c366bf9827bd4d0bf33b5eb890deedf72b384ca4a5b3ad9550b8493674df522a257565a1514679b1fef7bfc_1280.jpg,https://pixabay.com/get/g57c91351d1b2fa3023a43e971399121b8dd76e25cc9594cbfdf37b83960e7f89c2ba617df40a736a4ab07e9661d37d988505cc7b26f68aa005bcb6a9e578e62a_1280.png
ENDEMIC,native,native,https://pixabay.com/get/g52acf05650705f678ee407c6fd67a77475e4ee57539835988399da4494b9f6092d0ac5e18da732236b55837d2d51ff1dba9cdf15747e34b11717cc65c5a2e818_1280.jpg,https://pixabay.com/get/gca9c93a1516cfb3f1b5bb8a727619f9f298f7685af8391e677eb4251b0f8423ee7d169266e54776959cf245083972245500751110ab1b752061aeadd752ff17b_1280.png
ENERVATE,to weaken,weaken,https://images.pexels.com/photos/36439557/pexels-photo-36439557.jpeg,https://pixabay.com/get/g2762c3192a867786e53cd179122006eb9d30db05e0174d8cff2da2e06d61cb768df2cc31d6bfb7dc61ab9412df8dca22dbd75667bf8019984368b62a121ef25e_1280.png
ENGENDER,to produce,produce,https://pixabay.com/get/gd81939dbcbef1065875fcd72bfb71de093503c4da97214bcacb04ed3ad44f77fa82f7904de2b9dd1993311a68fa0dec57af7ce753c95ce5d8838130e73e65f95_1280.jpg,https://pixabay.com/get/g64ec8692b9d54db0ee9fc1a8fe56a9cb5b542049ad4c45e3a0f0c2d29627c7db748de0aaa3ee9c7a618f1773c4303c459e7e866977ef01d228737defbad44785_1280.png
ENHANCE,to improve,improve,https://images.pexels.com/photos/7448281/pexels-photo-7448281.jpeg,https://pixabay.com/get/g0dc9ba871f1502da6e61fd741faf10a590e3172f4e5872120f452ae2dcbc6eea2c8bfabd749482b2067e985080aaaa2e8f336590faa8a5344d77e0cb3f11f143_1280.png
ENTOMOLOGY,study of insects,study insects,https://images.pexels.com/photos/33956396/pexels-photo-33956396.png,https://pixabay.com/get/g0c5e3d5af42066527a0ddff7e7a78d860d4968cb5d29b4f503af8342eaa01d450180acbb19eaf3a1a788cdd0c604c4e0_1280.png
ENUCIATE,to pronounce,pronounce,https://pixabay.com/get/g1f6d7cffc16ab8abc5d320c22a23c66ac877adabe7a6fcb6d981abbfe0efcb2c0b39a6d35b29e672b9930c0cba3669ce98fec7a794bb74c8800d6b1272005dcd_1280.jpg,https://pixabay.com/get/g0ddf15c97f575b53360f47b508bf23eb44e68a85a1c86eece2b646bf6939cb8a2b3cea4a36bed319cbd7f6befbf54a16c342bd2d0dbd8c338d53c8a603ac124a_1280.png
EPHEMERAL,short-lived,temporary fleeting short,https://images.pexels.com/photos/33265198/pexels-photo-33265198.jpeg,https://pixabay.com/get/gc472082fdf6a5c08f141bde28c10fc503682e1a0e4f07ad4e2e3da73e33c172857d150c1f432009cddbf25601f0f482a_1280.png
EPISTEMOLOGY,study of knowledge,study knowledge,https://pixabay.com/get/g599c0f674fa799942c742984514724dd1b9adbd3bf2405c642009b530727efa4aa239f9822eb2fae8a140f966292d634e22cc4b59af8a8cf8cce3ad9e80fc588_1280.jpg,https://pixabay.com/get/g573fc611e2c135ce811e4b4d25219c43062cb8e50aa421efff6a609dd2cd59428b18851884c31258ef2443318cad49b23d3e1edff3f842f6c7341916f872e6a8_1280.png
EQUABLE,steady,steady,https://pixabay.com/get/g80eb65c00a7006e6bbcaa3aceb76100cc46741d1bd297041dd34fc5b5fa81ea0189765713b0fdf5975afe00f6edae02304a96c4bd338d3c20ff85c269b84d418_1280.jpg,https://pixabay.com/get/g3cb8c506dd836e59e29c5603c92fc7904c3881ae840bfb6654b73f2f6be6ab1e102a5e027b317b2124a7d36f6a1b25a39591bc9cf59cf19f4b38df2f17929359_1280.png
EQUANIMITY,composure,calm peaceful composed,https://images.pexels.com/photos/9663021/pexels-photo-9663021.jpeg,https://pixabay.com/get/g735b78f5bde278111ce59cc90a2f61c8d2202f05f09ff84db08cf57e74d712807eff33367bdea0dfe4a1c8ce03b8c79f49fce929f10534b177cb9f83eb5ada8b_1280.png
EQUITABLE,fair,fair,https://images.pexels.com/photos/2965945/pexels-photo-2965945.jpeg,https://pixabay.com/get/gc08f2a38792d8ebb3e7eae2d90e7d836507d7809ee4d2f8829d130a7828608dcdd124b8eb22dee7547d2fd5f58ae2d965f34fd7dd35e4d9a58ece55af8349f18_1280.png
EQUIVOCATION,vagueness,vagueness,https://pixabay.com/get/g2c36e381536a82062f590e4d6e7bb42ffdee9c13ad4b62ab3b61a66315ebc893be5dc4e3b2a2d26c40ab0a3f7f5e1b057016d73f703de5e68999eae540a972a0_1280.jpg,https://pixabay.com/get/ga9a18f2bf99a811e99aac686254a98894b4e643730fe349068777901a621c7f3e5d47b1fcd02f6d6c5001c5a5e76096f2fecb8f1aa04d989fb57ad876ae2b7c2_1280.png
ERRANT,straying,straying,https://images.pexels.com/photos/3581058/pexels-photo-3581058.jpeg,https://pixabay.com/get/g305e8663819ad9ae90e613b1d62e3ae2b382881cbc88363522be2d31df364d018246dccff03fca45c4d86c1c21a060268746a956f757603cb100a591947ef068_1280.png
ERUDITE,learned,smart learned scholar,https://pixabay.com/get/g54834522d10002ebeed229c0deddb030740a1c0870054bd83215ed03aca9115d3f463bfa8599dae38fa2faf2f351fd4421fde87e160ec00f0185ebfbfd909be8_1280.jpg,https://pixabay.com/get/gbbf8488dba73e2b0abf67da27293e28ea8d0e8b71b8f48b848580d6a7bad0df8df5a941ab88b8ac282aaca7ad060a19b_1280.png
ESOTERIC,obscure,mysterious secret hidden,https://images.pexels.com/photos/5724817/pexels-photo-5724817.jpeg,https://pixabay.com/get/g7902116469713accfcbde14486b86f647201e54f826efb78cdf5ae0401b11249a9745eca81b08f2ccd0afbe7224dbae42c8a367d6bc1c4a40349ac2ce6f6092e_1280.png
ESSAY,to try,essay,https://pixabay.com/get/gd3f7e989575a84486fc1e54824ab9655ebd5eb7b8d4210442404ee22075189f1a1607c70037a776b170c3caa683b2a4b0ed5888fe474091f072a162465ad9e79_1280.jpg,https://pixabay.com/get/gcbf3859b9a45719e481e4cf2b1728673510ca6864cd10bc02603d0c315bb720794809831707fbbc66e3cbb22e4ce5b2846a8c5aedb3c6d51a757990c9108fdba_1280.png
ESTIMABLE,worthy,worthy,https://pixabay.com/get/g952568e6a0a47722569ab33341517c7fb799e1403e436f8e5e934ee0a5f1f95400223c80637d6cb6467256ce69c3359a2207c207cf431b80895f627230719f99_1280.jpg,https://pixabay.com/get/g13f6dcf34717b0516cadf8f2202b820430b4801cefcdb5c615fa42a64465e34753e69bd859314371cfb994c320f9c45423983c78012f37a19b7a3c24b08389e3_1280.png
ETHNOCENTRIC,culturally biased,culturally biased,https://images.pexels.com/photos/13108293/pexels-photo-13108293.jpeg,https://pixabay.com/get/g35ebce987698774fd2b74671f1da987a6fa066273f411f46668195f88c3630affaca429caacb71b459b697f0288311de357cde5056cb692122b18be2585e01c7_1280.jpg
ETIOLOGY,cause,cause,https://pixabay.com/get/gd7ab71dd2bbaf608cce6c677f1220942d5fb82222823613449244ce98b5a0935960970d0565f666ef973efdd69b5e5cc3a1cd50d7064ff71938b7224aaadc89f_1280.jpg,https://pixabay.com/get/gf6cf001247f3027157eb265ad7a4a265a00c125a15f73b996fac1cd5a93f82a4a7d3b63fee02a6f92384e59e8bb5ec632b59afdf94c03f4145aa65ca44c2de1e_1280.png
ETYMOLOGY,word origins,etymology,https://images.pexels.com/photos/2002217/pexels-photo-2002217.jpeg,https://pixabay.com/get/g11c9f21f4b33e933b4bb862cbc53680b28d2017fc964991d746244bd5d0ec035d23ceb11bd058b0bc0c49833017b3dfcb50face38440fc5befdf6191b823d17c_1280.png
EUGENICS,genetic improvement,genetic improvement,https://pixabay.com/get/gc57be09b1c73844bbfa958bc278f8165f5c50edd0b019174cb2c40657a2b6aea8bb2cf081fc27df51686e0d8327c1829e4e8d3f6d40d49f2b2a3a2a18f78f824_1280.jpg,https://pixabay.com/get/gae234b077a2b16327ba81a15bcca42d0fe793ef22bdd6e0e9d69ca4ddf180a3dbfc4e2724ce34fc2038b68f0aade43f9dc0ec6efaf1c95b91b274da689e3ed46_1280.png
EULOGY,praise,praise,https://pixabay.com/get/g6dc5063dd20864d4703844ecf7d46a3944fd8780d73cd366209f88c2ae13310a8ddf6c27a7a9bd7e471d3bddd36a1490c2134b0a7eefd6bf4bc9368071c7857b_1280.jpg,https://pixabay.com/get/g2c630087087aadec92be799c517548d913fb5fe60517ddccbeac37925295b6bff6cce2a40a65cd15549913d22dbdab8c02be95217e854924e459ae5ee79a81f6_1280.png
EUPHEMISM,mild expression,mild expression,https://pixabay.com/get/g031cc01b2127fac6d91e9a414bdeee226742122c3d2bc6c61f3ff9cccab6ac1cc2308a4d39a061bdf4ade483cbf177edc25f324a49c2461648b79dc615c9d296_1280.jpg,https://pixabay.com/get/gc2557ee33c6c0edea4a21e16bce8b1d74ed6dbfd688750077c1ce2c044e4340389cd08b0303040bf924b763acf8e75449c5fbb4994d3d332dea4ead92a466a64_1280.png
EUPHORIA,happiness,happiness,https://pixabay.com/get/g1f43ee45db7456eadf88f59c0de33575e7b892f8161f631e798d080f2f9b98fa6b92da4a5f17ade7f6e241e7e1a1c3ca192f8acee7c476954cef2d30756e36ad_1280.jpg,https://pixabay.com/get/g8cec323f8fcaa569dff1cf20bbe0107d9067eedb7eed53a2198433ac202977c5f334280182c74af36eb3e947515b090d0f76f901cc7be83f5551b773f4bba333_1280.png
EUTHANASIA,mercy killing,mercy killing,https://images.pexels.com/photos/16084443/pexels-photo-16084443.jpeg,https://pixabay.com/get/g710264162ccf28637ad9e4f7ecefa7d8305353eda1707f57e8d986ae42a348386ce122b7ce0f9b53d34a0fcbfb6e0b468ece679c1f26e6fa782ca69b905ce5df_1280.png
EVINCE,to show,show,https://pixabay.com/get/g178c4f086cdf6c1104f4d342575cc753ffd5ded3391ca2fbcff03864b51a336dbe5ab1e10362a70ec1b0250a37cc196df328d97a69acacf0a47ef9d8438acd4a_1280.jpg,https://pixabay.com/get/gaf75aead94aedadcbd0cfed151de46371754dea94d26c77d4e5b26ff082b988e7c74c8b716ef45d90c64c5d992b767738a4308c82b3c8239853b03e978957a59_1280.png
EVOCATIVE,suggestive,suggestive,https://pixabay.com/get/g78c23cc3665c69331200f8cb2d1d7f099defb5787a43eaf57ca42fe0c21cd527acb996ad07cd1e28ed6c9f88d1a3618f0112e2eea74cdd8d957bbdbdc26fa58a_1280.jpg,https://pixabay.com/get/g77ceab9113b6decb0684883c7309ccca56e500a8c7e7e100098bea64bc110336ce918cf191c6b87ced18b415caa6d96effb6655f92503ae78827fcfadbacaa8d_1280.png
EXACERBATE,to worsen,worsen aggravate anger,https://pixabay.com/get/g4d28804204755a589d6704e6dbc1688d784674037587fb49c2ce1d9bf856e5ad9643c9c90f3ed9c7c18bec1a6e6763cb16d15db79bf2f4cad7fc3afff26e2e8a_1280.jpg,https://pixabay.com/get/ga4fdaecda579b12ab53b329e5d4bc7dc22e4731bc573ed69e8597b10e55401d8e8c2d325f9443baa37f37d5d4e56c994f103ba6424cf9c1d8b0fa0d331d87359_1280.png
EXACT,to demand,demand,https://pixabay.com/get/g4562789577e698443d1629ee37c6b221280e26164342f759756c34b8694f218a642587be9100f0ad9a5fb42a8113b83cc8aa62b1f06e624dbbdf1378c3666f98_1280.jpg,https://pixabay.com/get/g934522cbadf0944edc4f4a7498863c2c2de0ff55f33c689e469c41d3e0909c72218c48b8acd6ea30b0cfa2fa6c2fd620f86728ee42a4d35e4c73382f25a581e9_1280.png
EXCULPATE,to clear blame,blame,https://images.pexels.com/photos/7640788/pexels-photo-7640788.jpeg,https://pixabay.com/get/ge79e9a8fd0f482e112ea4dd3da6e9c119fb9e6a83e399f130af0fd509d0d167b2b2a17bff54ee1bca3638d47fc041ccdacf361d30194ff6ed82ebce76772172d_1280.png
EXECRABLE,detestable,,,https://pixabay.com/get/g32815ee5bac97595578d5172edb45e8dcd711c0eb40b67c2c9289ee4a5647dece9784f1efd2c78b9f663687ba390ea03b9c87e72282f9a2702d56fde7e08146b_1280.png
EXHORT,to urge,urge,https://pixabay.com/get/g0da64f0b314700426b250540a2f8de924bc56caf7517f7a8ed1ed528c955e69a9157c739acac763bc25e9c3bd284470b2ef81e2e2ef908758b96458de0a1ceac_1280.jpg,https://pixabay.com/get/gaf77c0eec1e552c83ca14c109cf6b966531f67985b1b384fe6051a36d63dbbad4678f3110799ac775782f369afb37507601dcb7f3f711f973749325336847f1f_1280.png
EXIGENCY,urgency,urgent emergency crisis,https://pixabay.com/get/gbc9abe7a8f48d87f38e118e459674c7b1ac9c2c91b44e979a450c326550d0b4a95928b1d8f0e78435edea18a1accde0040f261cf6432d0f3f1f5ed25663a2599_1280.jpg,https://pixabay.com/get/ga1c25b2fb36c4e7c777a98934f1f7e4a8a5f94f44159dded2d39ea32f3f56d751ecf102d77200e2cecde72215a056f25_1280.png
EXISTENTIAL,relating to existence,relating to existence,https://pixabay.com/get/g56d863febbd59aee916033c244a39aa890a28c5bb0123a0890de2ce0a554a54c65408d53ffd2e11f337281d3e6df4cc1397ac6379614b79540179c3d99ab28e7_1280.jpg,https://pixabay.com/get/gacda945e28153cba8d5e16510618a0058d5843092303f3d12d4aba05e27cd316aebb3819acb532392369e1778b87a417c0b5c43d512843e13717c60ede126899_1280.png
EXORCISE,to expel evil,expel evil,https://images.pexels.com/photos/15511011/pexels-photo-15511011.jpeg,https://pixabay.com/get/g2a8417b0b12edfadc4f4b4e840f6f381bf9c70643153f0a7bb94ad450c31b0b8c4319c9783205994aac693c8759013da9aad0bd5a5de3b8d12eb182013f16bb2_1280.png
EXPATIATE,to elaborate,elaborate,https://pixabay.com/get/gfc48cd60ea107d7f7235f4a3c2c05be07b244294a68b7ff9e002a35291950dd04f550627031b51147576c8215544ec8a062e9faabfed2777728a5d2f57ca6d26_1280.jpg,https://pixabay.com/get/g82cfc5f0a0d88759fa9879121b17ba85eec99a282127fad06ec163723ec09756fc9a0eb28b1733fb8586afdc2ebe56f336726ccaff20885aa42bfd2d73129116_1280.png
EXPATRIATE,exile,exile,https://pixabay.com/get/g8ada2d5f8c3be74e0448716fb2f3a02eb1b27680d6b15ca29b08bf7cb072d10aac7a7128fbff8da6553318563c07c99e2dedfc7de9920b70904d2a785289057a_1280.jpg,https://pixabay.com/get/g981232857ef6423ee0dcb81035246296606113aa84aea8e98552ac087ab19bb11844fe6735f3f3311e9ad5e0ae50d078_1280.png
EXPIATE,to atone,atone,https://pixabay.com/get/g56283649b8df3880915569ba4d0d31b885e8ffebc18605a15c1f71a86a3bae32958b4c8768d0cd5e9d2865b238ef56833f12a3e3995ff6183503a0c3ae0d9245_1280.jpg,https://pixabay.com/get/g550e6d8e093596a6d29494712a6731a3e43b863fb17af40c4ca98e65b5fe2bf8ecb36f9acc0f2b25e6aa6816fe25075a0713a5bf92232a0d049eb859336e6658_1280.jpg
EXPLICATE,to explain,explain,https://pixabay.com/get/g0de61c3300ef227003850d7b9278968fbcaa91deb64205154a4404470521300070fc3f83bb77c57d2f15499028342f324761ffdf37b4f5b96fb5e7026029010f_1280.jpg,https://pixabay.com/get/gb36ca5f0bd6958d35ffa8fcb3a73f0a53e2f2021ddbb2b80927883721edfbf7117547e937a07f7a137544ba67f5e39b329a4c529a6cdea01f1e0364d449a213e_1280.png
EXPOSITORY,explanatory,explanatory,https://images.pexels.com/photos/8617769/pexels-photo-8617769.jpeg,
EXTANT,existing,existing,https://pixabay.com/get/g339bddb33e59ff0ab9a8cedba18a3309b65ae179b1ea8444cd765a1708f2e5ebf8f5badec0c3a5dea0f238ac99e99b3e0c7c0e03e4a682ae32176df4c3266f75_1280.jpg,https://pixabay.com/get/g0797386d40d380e1d3cf0f00ec9a618ce7a1fd74d68201cfe8b536f84fc522ffee0f6d37ce8de6ce6e9bb9c693eeace270c773be4183b370db6f111960c030e7_1280.png
EXTEMPORANEOUS,improvised,improvised,https://pixabay.com/get/ga8beada8bfe6ed114fc44cfc284c0b42dd7709e380d04fab0e010e3a4bc77a7c8c4431b4d9b3bed38250dabd346d4ba2d468f8dd97d64910b357b2560d8bad89_1280.jpg,https://pixabay.com/get/g03b7578d06560febdf0281f7f95cc4e3d739b77e1dc6917fd36b8c74961cd34dce81ea90e05b2be50e98c223619b511853fcd323ec3a22edc591ebe2d5c9bdac_1280.png
EXTIRPATE,to destroy,destroy,https://pixabay.com/get/gcddaf806297d96481b1442099837025f00cc6dea0983e4209304435d85b22a48c2061952ae94b864db73009ca1f5db52b692116708a1ada6ea80064f4d4514c5_1280.jpg,https://pixabay.com/get/g5bc07aa72c09c2dac0e17304f6f8cedabc99df51c07e6c6ac32ba56c310271f2a64b6ad799f5c81efba06bbf1d9eea176b0233d5986e93a7b118e00784e16c08_1280.png
EXTRANEOUS,irrelevant,,,https://pixabay.com/get/ga8cfd87799be39224cc850ff5f9114cfb924e92261281b0c139d30b607cdf6f6710f0709488914adf76b27f8f0d4416c5102eb972e78bab9157bd9fb1b9b4971_1280.jpg
EXTRAPOLATION,projection,projection,https://images.pexels.com/photos/36014753/pexels-photo-36014753.jpeg,https://pixabay.com/get/gff850c0bcd046738d1216ab9b7a39355baeb057e474a68d2e286f957f6ddb220006c21500fea4b100fb0f6e551dfd30b27df329755f347d68955e372d176d28a_1280.png
EXTRINSIC,external,external,https://pixabay.com/get/ga70929a10d052013f676f4c2429f0fcf01a80734f0a4a2c209bee79ffbfa5eaf1d28394406d8727449d717ff2da26b14a131645c8fa904047f8334f7cbf3b2d0_1280.jpg,https://pixabay.com/get/gc8e5b6cbb1521ce9606af0b4895bf88b828dd6c2aa2ac7597fac9da7fcdea5926f48b73173faf11b21bf1dfa012af1d0_1280.png
FACETIOUS,joking,joking sarcastic silly,https://images.pexels.com/photos/34988575/pexels-photo-34988575.jpeg,https://pixabay.com/get/ge27837373b2781e1a4558bb87101181b27c2ece223dd1200fb0b3856e2d440da2ac3eda0c4235ac7991bf1c116a8094a65faade8382008bf835fda585293128a_1280.png
FACILITATE,to make easier,make easier,https://pixabay.com/get/gcd2223dc33277b9ecd2ac615339499cc32913f835e19641d18336553ddfb0f51be1b1ca4211cc0ae81a52ad96a33c3238da4b7f461bdbad6ff7acd9e6d1bb6ff_1280.jpg,https://pixabay.com/get/ge71f4e6e034319ee206c803cd2b19557fe341260b97e52d75daa7543038c621688a44aeea2f7e54e1ff129db97b45870adfb6d2af2e6b71376f2becf7ad22785_1280.png
FACTOTUM,handyman,handyman,https://pixabay.com/get/g552d63ad2ba70e2b4e1e2cbd1a29361143b59d1e5d8a4d81755acd55ec84aae9da81e748f56e7238803c43e7d111dff64399437a99a62972e280c5316b2a22ed_1280.jpg,https://pixabay.com/get/g2b833289a116bff5fe9425285fac7f01ecf86e14d20b85e6d8399e89a3279a5350186fadf622fec137d44c5169025dba_1280.png
