Word,Definition,Image_Search_Term,Image_Link,Sketch_Link
CALLIGRAPHY,beautiful writing,beautiful handwritten letter,https://images.pexels.com/photos/19664310/pexels-photo-19664310.jpeg,https://pixabay.com/get/gead938b0d6786b3e797b653978fdaba6c9d90fe47f29acda09b02f8732f43e687b26d2750bf62017a27eeab7e5801b858e9ae5d928e707e1cf6848a690bbe31d_1280.png
CALLOUS,insensitive,person ignoring child,https://images.pexels.com/photos/18625039/pexels-photo-18625039.jpeg,https://pixabay.com/get/g4cb05650cf6e3f74e64e4c5a2079ad1cef6f8aa6a44ee90e3417cda2a335b44e1005d74f8a6d25d579cccf54ea483b3ae179ab9f8f33c31ba23b8ea1d0bfc57e_1280.png
CAMARADERIE,friendship,team celebrating victory,https://images.pexels.com/photos/17382268/pexels-photo-17382268.jpeg,https://pixabay.com/get/g8c106400af314467363080a1fcc4aff0cd0f8688ce438e8126327cc4d878948c0b3997cf52154975a72e148eaa2dae72defe36c8f60fcf277d8e2d7742944e13_1280.png
CANDOR,honesty,person speaking truthfully,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/g0b75ead5664f854b00e4dad016416158876fba76c672468440cb17b77a4a619afb496f8f88484e793f97131a4791a0088438d10e971037c7bb52371bed9285de_1280.png
CANINE,dog-like,friendly dog,https://images.pexels.com/photos/33385818/pexels-photo-33385818.jpeg,https://pixabay.com/get/g1ccf6d38cd27b306e0d19aaf02b0171539b03dd5748931d60b6dabd24734407045a0d2bd5b625ba40177f9ccb9a47dde_1280.png
CANT,hypocrisy,person pretending to be holy,https://images.pexels.com/photos/31513865/pexels-photo-31513865.jpeg,https://pixabay.com/get/ge62dcf82ab6cc0bb1fdf22345c4c3ec466a1efb2a37e5691f07e36b3401728d94e4d5b9ec5666556b97f2199fcd087fa088f29941958328bbc8d3b8993604cac_1280.png
CAPRICIOUS,impulsive,weather changing sun to rain,https://images.pexels.com/photos/831904/pexels-photo-831904.jpeg,https://pixabay.com/get/g16bdc3c8fc8f0725bdefc72bd668c8ba32f8e27e0a7ff0bce6e7fc40c00046220aab41ca89522ef546f3555bfd465e0c8b6c8377bb964b4715c9325fb81397e7_1280.png
CAPTION,title,words under photograph,https://images.pexels.com/photos/21301307/pexels-photo-21301307.jpeg,https://pixabay.com/get/gcfeef4bc502062d18621748cb61f2ad541da0070c92cd87fe147e0d6676fc595f8fda62a0c64de420786e61ed51588f74268f4d8b0fd1da7168922f4c24798c0_1280.png
CAPTIVATE,to charm,audience watching magician,https://images.pexels.com/photos/17264309/pexels-photo-17264309.jpeg,https://pixabay.com/get/g42c45182fa8fcd39551c14f2b9717eb02600a8141f3423a9b9ce15cec4dc2056ddc49e1d1ffbf255eda2059a9108626442aaff15f762adc64d016106ea002c81_1280.png
CARDIAC,heart-related,heart shape diagram,https://images.pexels.com/photos/880843/pexels-photo-880843.jpeg,https://pixabay.com/get/gc89e6de14654a3f02ab92eef8f441874a052ec7ccf227207db5c253e209e905f386165db85a6af59581c71c17098e6c138330cbdd9cd496301ef89b31d40c4dc_1280.png
CARICATURE,exaggerated portrayal,drawing with big nose,https://images.pexels.com/photos/36170709/pexels-photo-36170709.jpeg,https://pixabay.com/get/g43ac4a009cc2381fae6e8811a74b3e4cd2cc12a8b0206cb440cf2911b776cf9aad16df36a3b0aeea14ef5cc825e9d0284d9e3a90fc1a74172c55ce57145eb4e5_1280.png
CARPING,complaining,person complaining about small thing,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/gbd92bc2a6ac8b850026c5f8864528d2da8431d9716d3200adaceded607cb221c91a356f23c4a856fa46d0957febae256510b80159b2356072d159c6d75b654c7_1280.png
CASTE,social class,pyramid social levels,https://images.pexels.com/photos/11010719/pexels-photo-11010719.jpeg,https://pixabay.com/get/g4dba295ef8db3e6bcb8c2e0a83f1bec080e70d01ed9dd0fc9fc3f48aff5cd0385ed68586d85d2ad052170a9ddac69fa2f490b7d95ab0a2f2da2962e746a01bb4_1280.png
CASTIGATION,punishment,person being scolded,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/g73d0eb301ce2bc624ecba863332a23c4c2e371daf6cc6a2aa1595ac5bc4e3cfb1673921a7b42a8910372aaea37fbf567ed049f46129916be98cb5bff3fcfe105_1280.png
CASUALTY,victim,ambulance helping person,https://images.pexels.com/photos/27616792/pexels-photo-27616792.jpeg,https://pixabay.com/get/g93caaee705f45b283636a65c08222e07d2cf7df99caa282494f15f3b68511fef79f44382311b8ee224ac8ff01de4a5ad88f615d73f7238e0ec70d52740d8ae16_1280.png
CATACOMB,underground cemetery,underground tunnel,https://images.pexels.com/photos/36905991/pexels-photo-36905991.jpeg,https://pixabay.com/get/ge25b58a84fc9aa6dcd78ca9a5969b88eb363398aba59d182ce80bdc81cd9cf2c16b7c3a9aa2053a1d7af70198aa6edfb_1280.png
CATASTROPHE,disaster,building falling down,https://images.pexels.com/photos/14638899/pexels-photo-14638899.jpeg,https://pixabay.com/get/gd84edb81918d7e28769e19c07745f9edb521639e5d79c500cc5f6ce082e51a98dca10f6c2138d219cfe335a02a137eebf3194096f749c185ce83fded429ea8ef_1280.png
CAUSTIC,burning,chemical burning symbol,https://images.pexels.com/photos/17444467/pexels-photo-17444467.jpeg,https://pixabay.com/get/geccdef84c2a0b6e0165cecfd00b35f40fcfa39c77ee5b489cbf2a04003a84525ed5d35aa652b6a35547675c6a3dbf9f2_1280.png
CEDE,to yield,person giving up territory on map,https://images.pexels.com/photos/18380398/pexels-photo-18380398.jpeg,https://pixabay.com/get/ge16efd94a97c1e1f2cae1ad49049429383e7d193a8c16ab1594c9d42808ef2f3be44bd24b056a1fe6d90e66fb438360bb4ddc95d33b053ac7899fd2fe141f308_1280.png
CENSOR,to suppress,black bar over text,https://images.pexels.com/photos/19582307/pexels-photo-19582307.jpeg,https://pixabay.com/get/g9fdc278198a2839deb17b8e34431fd8ad23ba55f27582db098dae9ef8b8982eef54f2599e9ebd92b2a9edb1fe4559cd818d41cee31c82bcb77e15e4a2cb26869_1280.png
CENSURE,condemnation,judge banging gavel,https://images.pexels.com/photos/28867680/pexels-photo-28867680.jpeg,https://pixabay.com/get/g400e01313155eabf9450b724617fb6ab7af15f50dd8fe92d7e8b8c533a4cb01f3575b851309d51b77a912f1fb7a74bd2016c2f060bc2863a3268af3e14d636fe_1280.png
CEREBRAL,intellectual,brain thinking gears,https://images.pexels.com/photos/26076355/pexels-photo-26076355.jpeg,https://pixabay.com/get/g4347b77561e05005d5e2a8d1ea160a4252ce80fb3b6963c52462dd0036e39a9e736d955d4ff8c453818ee76cadb80ed1f5bb8511c923c7cbf6f9690dd5cc7cf6_1280.png
CESSATION,stop,clock stopped ticking,https://images.pexels.com/photos/8332112/pexels-photo-8332112.jpeg,https://pixabay.com/get/gc54539c67b1646c6aa0f07c594166706e19dbcfa91488f6b01947d80b15bddde257867af46ca387fb37590157920b1a21fe38d42ce7a029595e5157bb6efd8db_1280.png
CHAFE,to irritate,shoe rubbing heel,https://images.pexels.com/photos/34387637/pexels-photo-34387637.jpeg,https://pixabay.com/get/ge16453cecf0230944b1e994a82bf0da3772b16c3a1431c5e96f3e9fbfaa9f3005a5e627d0cd151016bcd0f7246dfdf56bf465065892f5ae73a981a13ec889408_1280.png
CHAFF,to tease,wheat blowing in wind,https://images.pexels.com/photos/31744871/pexels-photo-31744871.jpeg,https://pixabay.com/get/gbe4ba9851e6de693603840a0cec6e607232609f7892813808c3d3d96d81373715582d5c77009010fd173ba589a8e70d0e179484fd01323178b0bcaeae8a3a446_1280.png
CHAGRIN,embarrassment,person embarrassed after fall,https://images.pexels.com/photos/32917527/pexels-photo-32917527.jpeg,https://pixabay.com/get/gebe5e6db3ac9bb0653d7dcde204809b26e578c09119285bce74539cc6ada80705640975abc7081d7834329ba78f438fedab6a159bdf2f0dc384cd5985be46225_1280.png
CHAMELEON,changeable person,lizard changing color,https://images.pexels.com/photos/15826655/pexels-photo-15826655.jpeg,https://pixabay.com/get/g6139c2e3165bc1c46559eab4ad137c0ff3d1899515ca69391f9e02cd19c17288994356eda997b8c59db9f8c735abbb7e_1280.png
CHAOTIC,disorderly,messy room toys scattered,https://images.pexels.com/photos/14852082/pexels-photo-14852082.jpeg,https://pixabay.com/get/g77bba7cee22ddf2847271490e95a9488e311032ca91dcdd8620bc967e3432493d61edc2e0735e6832caa74af8fa1bb11953bf4e4a9265a5bcc75c32dcaf92aa5_1280.png
CHARLATAN,fraud,fake doctor with snake oil,https://images.pexels.com/photos/30452073/pexels-photo-30452073.jpeg,https://pixabay.com/get/g9482bdbf385ba8b16aec4955595921be622d166f94d5ed706eadd5442bb46326dbefb555d5028d4de4217cdf21490e203d3496e1e065b370a448d745f3cec7dc_1280.png
CHARY,cautious,person carefully stepping,https://images.pexels.com/photos/12495668/pexels-photo-12495668.jpeg,https://pixabay.com/get/g52573977adccf119f3bd476c3db120624bddce9e7eef6994da529a811f1635500ef198f23918205ff6d2eb7739a9008f_1280.png
CHASM,gap,grand canyon gap,https://images.pexels.com/photos/16811639/pexels-photo-16811639.jpeg,https://pixabay.com/get/g460035fb9d286fdd1b941c7733e40a090cc55e93c9d5c9178b364316b3112d4d4a924d5bfd31e9164658f2612b547a284eb5d03b97301de0563cc78231f213e9_1280.png
CHASTISE,to punish,parent scolding child,https://images.pexels.com/photos/28589227/pexels-photo-28589227.jpeg,https://pixabay.com/get/gd84168e7cbe37b6870c1ca4c5a512184e73d9dbe58522bf02d27947328720c42b5a16be6039c0739dacddf05e59de65aaa6fcc70d07c4226a98ce1456f1d8539_1280.png
CHAUVINIST,blindly patriotic,person with national flag,https://images.pexels.com/photos/31108570/pexels-photo-31108570.jpeg,https://pixabay.com/get/g716877a19499ce397f36ef90eb70442c206a03a670e25f293b0853a56b791d7d5e8bcb1c779e65513fa45eac7eb1b947b5f7598016e6dd41ed287e053acbcbd6_1280.png
CHICANERY,trickery,magician hiding card,https://images.pexels.com/photos/12495666/pexels-photo-12495666.jpeg,https://pixabay.com/get/gf26c2484bcf94cd87444240f4f6f858e0b6dc7776c3b6a3dbbc9f0def7175493497dd0f7c09b1a97eb824e533bc14c6831be1ffb7e81a1c31ad5d6d0ed31c670_1280.png
CHOREOGRAPHY,dance composition,dancers in formation,https://pixabay.com/get/g5fe32b4cd7e09c5832b4870baea6d7c2c2af29d1e08f4518911a4a39cc936fe9c56903049b7b7723c5040c90b8a78dca831cd35f19a6d5766dfb4a957f929e5e_1280.jpg,https://pixabay.com/get/g898074e317127bb41665aeac04b7e79535dba747877ce327c28536643b7138398f4fca1aa4df74f53947d790d1c0ac686c579d35c4f80066f7c58bac4b413230_1280.png
CHRONIC,persistent,long term patient,https://pixabay.com/get/g316009391154408b28dd3f39b1b899625a538bf24dc488d86e7ad6a5f46ed3b855b13246dde2c8ac80c047c2bc8b4907f3a7a4d7a3185311b530c931f8319bee_1280.jpg,https://pixabay.com/get/gbb407c24bd2fcc5801a43606235cbf67083b2d75a8c91e6763adcfb94a6aa34b71e421886c712dcd36d36aa4457f0da9a5f52e57883fb0d28c556f9d550b6c31_1280.png
CHRONICLE,record,chronicle,https://images.pexels.com/photos/8451911/pexels-photo-8451911.jpeg,https://pixabay.com/get/gb38cfce882fd3af86fb773a8dd57bb02abfae4e1afa136b5563e1f6de4c1f39ac04fc3f957be7c10680e9873d95dd082342d4e86051df4de96280a870757a273_1280.png
CIRCUMSCRIBE,to limit,circle drawn around object,https://pixabay.com/get/gb7e0df160966af7b6df2b1dd2a5e348c402e002dac1e4adf324926f73a76908750ebcca3a77c8b6fcc735e34d41c6a6a_1280.jpg,https://pixabay.com/get/g72ef67523796ca6b7271fd55c4cd2da95f925b13341d0b0f871146217bfb7cc96fd63629cbbc506cca8ee15458fb291b26cd68508c60c43ebef29da998a77089_1280.png
CIRCUMSPECT,cautious,person looking both ways,https://pixabay.com/get/g8fdb662c2730ca26c21e534110b54f79e848e08a96ce470d80551f7752effc4fc85d1fb5758c2e330f03f15040db1c3088ebaa12d209c237878455c0debad400_1280.jpg,https://pixabay.com/get/g8a884eab435ad2b6409acf226341a3b0fc1446b331b339e37c87f45b9b8a5b906ed96c6653f9cf73bf8df19409316fb5_1280.png
CITE,to quote,person quoting from book,https://pixabay.com/get/g8d1a2ab834f722b6df81881f96f617c9e0594a3535aafe68b614848edc802da308ca8b43a5a7514697f47d520ec7dd646b5e313f97867c7abf6681c418663ce0_1280.jpg,https://pixabay.com/get/gc81f667bec50f757daa37ba45f4424c39c7dc2927baf3d625cbe5bd8fac8279bbe4c5f5b7d20d49e8474dbcb9baf659ee31fa0ff3f4f0f1ddd92d5430401f929_1280.png
CLAIRVOYANT,psychic,crystal ball future,https://images.pexels.com/photos/11533116/pexels-photo-11533116.jpeg,https://pixabay.com/get/g2909d24f860de670f56313eb7a1bfe05da326892d7f6c7c7f3a9cb4914c1eafcadb4d34fdb5fa384ffb0441d94a2e092_1280.png
CLANDESTINE,secret,people meeting in dark,https://pixabay.com/get/g9af3db76e8cab2c00ab02df2633dc9b10ca3050cbe1238ef7c4a484662c3a2f2ba33ae81100477bb50782ed4672d68a4c4a56eab487f90822f5ca0e240d81774_1280.jpg,https://pixabay.com/get/g847310931715d369ba720826da32f7bd7db84c946ffc8b9b1aa1dc18633fa7075ee264baf8b468cf4adf4dc2f6d5150b83d20877524764263972f1455affbe7e_1280.png
CLAUSTROPHOBIA,fear of enclosed spaces,person in small elevator,https://pixabay.com/get/g8ed62eca5d7909cfb6930a977918e3bcf02590b2b5c904c00aa4a15c9c90b5f099a4af875f2ea987eb35ced6730a03929585d984d7682b01af15efdaf8e499a7_1280.jpg,https://pixabay.com/get/g2cfc9b7ca8d76773aa43742f6df2930e2de09b2d8c75517c040845476f43bc95da31c0eb6f6e01f6c4ac0a8a31cafd21cc829d65ea1e16134034f9a2937eaafc_1280.png
CLEMENCY,mercy,judge showing mercy,https://pixabay.com/get/gaee170918c3c08f446396efbca628cdb7d9831e4e2ed06b0a613d77672d3dec74bb09a7922882aba98c9d282d1403d23dba0685e2774e647eed85b076809ca4a_1280.jpg,https://pixabay.com/get/gbaa81d6dbf8ba80b95e77ec705506bcd4a3026793e289ec03d88e91a53b32db92a001a9e0bd3ef8d57c94f1b947a22ce393dfce25e4cac7277c6765924d0a7fd_1280.png
CLICHÉ,overused phrase,overused phrase,https://images.pexels.com/photos/3762802/pexels-photo-3762802.jpeg,https://pixabay.com/get/ge7e033800ae98890ff6e2357dc23d9992ba4658b5f2b4214cdcbc380a028a05024671015f9a59a99a57865e3263244ef173a23bee3cdea67cf2872e77fbfb5e7_1280.png
CLIMACTIC,peak,mountaintop peak,https://pixabay.com/get/g8337cbd4ac499cbc6161cdd2cded9e00c1cd3f61cfa522bd5c4f936f5269c159b3772401662a44dd85f1c9a218154af56e9576b653ae42b563254c2e4769b8b3_1280.jpg,https://pixabay.com/get/g7b31465845aa4a89d10d3bd9ea3ea2462aa3eb2b9312f9bebbe55293cbcd97113fd2b4c58667a5cae94fc9ba08148140307977f2ededd59e0da42088170460ba_1280.png
CLIQUE,exclusive group,group of friends together,https://pixabay.com/get/gcafd69f51b8cdd2ee55cee98f3f1b05fc9036b515cac961ac8a971f47e8b9d460f175ef87bf2422e43cdc69a6e9cb2c2c57a5e0794c1a04913e644c5232cd302_1280.jpg,https://pixabay.com/get/gcda90ec5d04f3718d3428b95048ebbadcb714288b6508f2c978c9512579a73cbc4799adc8d1d9d20046c62cbfd82085183e4f1b477cf4d1422aca7519945b0d4_1280.png
COALESCE,to unite,water drops joining,https://pixabay.com/get/gdb932bb04ba06d593cbf1074f6dee48f9927e2ff32e667d246f6eeb23fc06a3f3486a9fcd4dbe72351625dcda8129671622e1a4eff7d9e3ff3a066c08527f1eb_1280.jpg,https://pixabay.com/get/g7ec6f83e180e2cbdb2ffe63c0b40b69db4dabf43c166547e739d12960ebad321fd8dfed6752d2c4a9ca62ff6afc9cb4ea62fde2fc079fd59207dc29c8e0ca49e_1280.png
COALITION,alliance,alliance,https://images.pexels.com/photos/29193426/pexels-photo-29193426.jpeg,https://pixabay.com/get/gffc00e00252c5d658a82b919730a8137afcb41ab86959a6ca39b08f16c272535a4e434e6bad34a328c694cbd55523c93304616e9994f3056a65c466c2f83768e_1280.png
COGITATE,to think,person thinking deeply,https://pixabay.com/get/gb74e44c843eea7793c4241a1df51b7601fd421690993ce42a73461133037ce5fefe431f61a4b0be529c639be3868a1de6c6d3d52092d65e4dc6ce64a7097b96e_1280.jpg,https://pixabay.com/get/gb2fce038da50653c44983327da74aaeb37634fc69df7ca82e1d36efd7233925f866bc647ce0a8d5ada786926e46e2e27525e937e11146d4aabf3ae1638ac6958_1280.png
COINCIDENCE,chance event,two friends wearing same shirt,https://pixabay.com/get/gacd519b5da6a4d0661ba403d25f82178298e4b435cad3efff41e2320ba9eaae6d48b22f0aef39b31024a2404d14875a9b010aa27680eedf0b166bba10621394e_1280.jpg,https://pixabay.com/get/g895c217d19d96a7c4d96ec7d212d90df0bc1b762ac01e41f4ddc773b5f566d3c9e02179b5ba08e54bbdbe4ba7c917ae78b3180bf0bdd77d42bbe8a5ccd8fc4f6_1280.png
COLLABORATE,to work together,team building puzzle,https://pixabay.com/get/ga1bb17783c369249ef39fcc5f95b433a1b9ed34c6ca60e91902e33675eea3b5b8fcfd25292175666aa620a2713d0db9e377aff9d6d5b562df1ab6e07599401d4_1280.jpg,https://pixabay.com/get/gd3565e44f7dc289b02e3cdda34467fc0019395594c6500b78e73df27eca1a5bca799bf975fcd481c1552edcd39ed2dd6ade50a1f250a88ad8dfe519ab66f13b0_1280.png
COLLUSION,conspiracy,people whispering secret,https://images.pexels.com/photos/19568315/pexels-photo-19568315.jpeg,https://pixabay.com/get/gcd02a14873c3d67d806b1bb26eb398185898061bb4a2c97026fb43d7b3598ddc9c1244e0f1d014ef0c1982dd50d19b44845e3907146b7f4758d0972f06aa0911_1280.png
COLOSSAL,huge,giant statue,https://pixabay.com/get/g2d6233f93c87e1d63326cf7ae050af8e008f018d46fb8d4fbf73486a39617440cbf7142490967ac3559d580d96cf2d64c65945e713b275fb932d466950ef2a8c_1280.jpg,https://pixabay.com/get/gdaea6b390d1b76ff594976f8d1205456379aa4ec1a6fc572d1f5ea4ec24987b26fee0eff9cdc4133af05d5f635f37238952ead1500d6d95d69a9e5820e2228b0_1280.png
COMELY,attractive,beautiful flower,https://pixabay.com/get/ga56e5018539e7d49b25ca61e784e448322d833892be81b5d451d0a478210bae11f5cf7bc6ea7c01e876c2fca8ec2f31edaf54a5321715de225450ee0f56fa7dd_1280.jpg,https://pixabay.com/get/g082622e3ff363cbb8ec4c851b1de899debe428dfef4b62bc9d7a30e8ecadef05f9c9fa3681d454f2f2670951c5163a0e01b8d03f2d1e9426bdb634700e62e79b_1280.png
COMMISERATE,to sympathize,friends comforting each other,https://pixabay.com/get/g47d3d87ee7b8fae676e732b515d064301246fd786d6e76a9b7b3ac779998e0c13a87b583520485a592a742643717052a2b36e8b4659ce262e07b71db291593a4_1280.jpg,https://pixabay.com/get/g4dc01024ed6a2e4e08402bb216812cd543c45ab1133acb7b5165b5b1bb5b474d93cfacaa6da2c1941d679065febedb1c_1280.png
COMPACT (ADJ.),dense,compact (adj.),https://images.pexels.com/photos/33385644/pexels-photo-33385644.jpeg,https://pixabay.com/get/gba4ed8527c3dafbdae92c43fa63aec90c6ddf535352f35526573a5e174033d997c9081e62faaee09c78b0b6f0475781b3fdf246a52a53b01f94c2a4cdd0e6326_1280.png
COMPACT (N.),agreement,agreement,https://pixabay.com/get/g91f7ae0ec8a2e98d97c4ce1e67823001b47dd21237667daaccfee707b45cb83dd7c1d8ed0cd4315169f1529674ef5aa664420243cf4ca42b309bb4adba7027c7_1280.jpg,https://pixabay.com/get/g5c5673c0016a2f7bb098046d38a4c198192e6aa15a63288cf07dabf80864de92e4342161d66d201de5a6d5d1a0dbc4c34acb8f735fa6b3b273d0a0823707365a_1280.png
COMPARABLE,similar,two similar cars,https://pixabay.com/get/gf3333f3ea8d26108939780595222b4007c125dc07f38d7627e70ece2e470041a9cdeb0c2bf9ad0f56ca0fbf6879df595a590950f3e4e7a6d593af28830d06141_1280.jpg,https://pixabay.com/get/g58f1259248a25326b3d602e41f63ba9cb585f256fb443e1e3e1820ea31a55e486c4b8f103f9d1e7bd3823840a33addee_1280.png
COMPATIBLE,able to coexist,puzzle pieces fitting,https://pixabay.com/get/g2e30ea6b93e29014ce25cebcc03442bf1dc515510ce1a02e27030c764f1e8fb95c4e383c2355b7c226ef515d97475077d4481c55ab17ecef47ee37940632bca1_1280.jpg,https://pixabay.com/get/g7121830857bc59be1442e78e755cb5274f8ac053708085852c23d8a93f25c107fedb900b518f7eba624ab4e0531c21d863ab033ddc3a1bcda0a65c5a014d9feb_1280.png
COMPILE,to collect,stack of papers organized,https://images.pexels.com/photos/20818883/pexels-photo-20818883.jpeg,https://pixabay.com/get/gdf18783adf8ab2d299e975d23461f804aaede8707ba66ce9c21e60a7d399e05e4d61767a362709db3c77b4704811b63e_1280.png
COMPLACENT,self-satisfied,person resting on laurels,https://pixabay.com/get/g299f92607fcd40ee305f80bb9ad61b8cf139a2112a659ff9ec9318ea1e9135b9118e1585fec949bc352494756c2aa2401c9aab6db9e56b48fcbf7ef7c16735ef_1280.jpg,https://pixabay.com/get/g7bcc3e268e4e6c3b1ef6cbf195ffe7c63ccd66e973270a2ccf97fbef810300a13ae01393d4da89710d0d86ef3830faf1a634bb423063c9a4a625976daf36a191_1280.png
COMPLEMENT,to complete,peanut butter and jelly,https://pixabay.com/get/gb87a2cbe706021ca441e75c0383cf8f2cec23dd074af4153b646ec47469773191fba8b68239cd93932318bf66d3db09fced39a235b52f2dbb673a4981050eec4_1280.jpg,https://pixabay.com/get/g57e5df000de41d1056eb8bde943518637ac9b69aec5655297e9e0812430b6fc53672d2e34221fed7c2f23c77f3cff617156b69e9987297e15e5e013a5c566162_1280.png
COMPLIANCE,obedience,child following instruction,https://pixabay.com/get/ge8fa80ceae18277a0d6a5c4ea1822e9a023675bb246d7314db970dd93b3c25a6da35da40afe788866a70597aa4dd2ad5ef6f642d2447cfdd7933818324cecfcd_1280.jpg,https://pixabay.com/get/g447c75e536dd29a024437937a59bea48a44a39959f0a93ffe5a0cf533728517732d9f76d25a35ce38852b870893ebe3e98d1146212773dcec8e83ab6e7d5f225_1280.png
COMPONENT,part,engine parts,https://images.pexels.com/photos/9666306/pexels-photo-9666306.jpeg,https://pixabay.com/get/g104cf895ff33d34a0716aacdddc8195d81fa6709221945cc8d56b2c3dfac7cb947a430044590642d61fb0142c0dcfeac_1280.png
COMPOSURE,calmness,composure,https://images.pexels.com/photos/26221022/pexels-photo-26221022.png,https://pixabay.com/get/gf79dda317f9eda389ce37bc126376ad60123371d9fd2fd2e3cbec9a29b1b9b02d38b44abe48dd9dae7e004b8e5fc7297568d40aac5cd23f3f2750d81d851a587_1280.png
COMPRESS,to squeeze,squeezing sponge,https://pixabay.com/get/gf5161fa1a85c14a06a1ce6c04b50bd57b2da64cb95a537c2d0e62ccf81c77dc66bc2aa933b382ff5c0cf3cda8169f71289d84a57352ddc36325ac7ff30fc6759_1280.jpg,https://pixabay.com/get/g23cf8f018dd5a76c2208d9e05c6dcd34fb33b45381b3d2cb5b6d44f5519f3af73058b1b8381687994024cf46ca177d9529164e83c99c3efa6e2e1ca7a7cb005a_1280.png
COMPROMISE,middle ground,compromise,https://images.pexels.com/photos/35357998/pexels-photo-35357998.jpeg,https://pixabay.com/get/g07749d933ef3b823e5bb04a9e15276e48834912bc5da08590602ba68e5d0df8405aa4bbc4bf5672561aebffd57bb7b56de3147afdcb7f491152487aa4a583b41_1280.png
COMPUTE,to calculate,calculator numbers,https://pixabay.com/get/gef8891555dc73f16b4488f7a2989481ae0b9cb7829c0c7324655ce4e9f205c310718fe7c32b8017b8c833fa74d100572fcf6917bb490cfccf50c5b2c96045fee_1280.jpg,https://pixabay.com/get/gd43425a6f8469a57ed1f8618f535beee847a60b3742140dec6856eee90c55e3b74e77b0442f101f8c6221d371adfe8011d6c567a26aa836f3e18383f3aa347c5_1280.png
CONCERTED,coordinated,team rowing boat together,https://pixabay.com/get/g55a30b6d56f3625227f25b5fdf74f08f8974c9a7a207461a5270a49e3f61fb8edf7a4b35beece85e0412865d853e3df3ae402fa1965616e164ec5de9cba4f402_1280.jpg,https://pixabay.com/get/g4af85ee148686a9e8418e469809a3cc80812aeb599715b14ddf83d03223777db728ffee8b27640d784b656b6a03e2a851863f42bc90298336db2f90413c0f524_1280.png
CONCISE,brief,short and clear message,https://pixabay.com/get/g12bbcd948593ff77eb19afe818ea6b6003276c9c3072fc8928efcbdd1d625eef7653f6704c0cb5641d41d968f00470cc636a7c265768f8225dfc467152734647_1280.jpg,https://pixabay.com/get/g8cf7daeaa6d895388437847ed1714c005a5ed578bb7d9d7e5ceea2e90c71ecbf09b52f07ab54d709d91a8c1e95059bf4_1280.png
CONCOCT,to devise,chef mixing ingredients,https://images.pexels.com/photos/33094634/pexels-photo-33094634.jpeg,https://pixabay.com/get/g4a1b97b69e6042c112f18eb7f38cc702da60e008a7ff91f40d6122d98775c64ea923e9223516ec3f4da99accbc3e4b17_1280.png
CONCURRENT,simultaneous,two events happening same time,https://pixabay.com/get/gb5bd9b6d9640d58e5f8754807d6453e8c11f042ec208ff5fde78c1af0bbe0f8cf4573c932385fdded389691dc18e04fe34236c83277bb8926305eccfee36c261_1280.jpg,https://pixabay.com/get/gd672ec57c46bc1a6d0fa4d080e6fcd2a15b728f430c3c64d30d5a5b1143101500cd3a71b52740458a42e9496e0dfa7e6b3869b93d92143b12166d1fa1a21ff6e_1280.png
CONDESCEND,to patronize,tall person talking down,https://pixabay.com/get/g7cdbeb2360a880988b941d51f9347f8f1088f1109a181c2c29085901a4fc97a779d3712bdc949369778268b688aa657fccf188b8ab976225a113e3d8e403a8e8_1280.jpg,https://pixabay.com/get/gea2c5da58f5c050376c7a1d15111d66ed22a132dbde2cfc552031ec15263e9103bc4ce63d1c85d08d47352cc57db58252c5a1f6e126a8cdcc3e17dd64a2b7f7a_1280.png
CONDOLE,to express sympathy,person offering tissue,https://pixabay.com/get/g11e06ffafb30047f3d9d59e4e99af90a611c5511513ddee9c857b037da34375b28dd7e5f9d4a7f7c018b889009ebbfac923dbe52fe8612a0250ce795f437a3d5_1280.jpg,https://pixabay.com/get/g85096cba45a39d6d495a87bb1fc7cb1e97cf6fe333115745264eeafbc57179b065d1c4845e14164a266659520436bf20dfc52f5e8d299dd9dee70d7fa1c344f4_1280.png
CONDONE,to overlook,parent allowing cookie,https://images.pexels.com/photos/28589227/pexels-photo-28589227.jpeg,https://pixabay.com/get/gb7b3239e205025d50ca8a7f6e477ceaf22f2a833f63e4caa49cfaa441acbbcffc845cd746e59dacaa8b283d723d320646f5be09bb3ba12786895f9367bce6b34_1280.png
CONFINE,to restrict,fence around yard,https://pixabay.com/get/g9a95a31cae78a4e87bed8e28c20754c512fb9b0c6318154c0121215d0c5240dab7cb5fff8b693bcdcbee18269730d72c57a135067964411207ab6136cc07192d_1280.jpg,https://pixabay.com/get/gd30b8cba34898a4b6daa3d6810163fc1ab6b9e9b825890e7fe3a4655c8f386e371e3f3b833efa4214b1069fbed37caf21c0a9d65b675e5a1cb7547892e4f754c_1280.png
